date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Bordeaux,12,8,12,E,0.3,88,45,1021
2009-01-02,France,Bordeaux,9,3,10,NE,0.0,81,32,1019
2009-01-03,France,Bordeaux,6,0,11,NE,0.0,66,0,1018
2009-01-04,France,Bordeaux,6,-1,4,ESE,0.0,66,2,1021
2009-01-05,France,Bordeaux,6,-1,6,ESE,0.1,63,35,1018
2009-01-06,France,Bordeaux,2,-3,13,NE,0.9,70,30,1017
2009-01-07,France,Bordeaux,1,-4,17,NNE,0.0,70,18,1021
2009-01-08,France,Bordeaux,1,-4,16,ENE,0.0,62,15,1021
2009-01-09,France,Bordeaux,2,-3,11,ENE,8.9,85,42,1023
2009-01-10,France,Bordeaux,8,1,8,E,0.0,87,37,1024
2009-01-11,France,Bordeaux,11,2,6,SSE,0.0,86,1,1030
2009-01-12,France,Bordeaux,8,3,11,SSE,0.0,79,29,1026
2009-01-13,France,Bordeaux,7,3,9,SSW,2.1,83,71,1018
2009-01-14,France,Bordeaux,10,5,7,WSW,0.0,90,17,1019
2009-01-15,France,Bordeaux,10,5,15,SE,0.0,82,26,1013
2009-01-16,France,Bordeaux,9,5,8,SSE,0.5,92,44,1020
2009-01-17,France,Bordeaux,12,5,12,S,0.1,88,27,1021
2009-01-18,France,Bordeaux,12,8,20,SW,6.4,86,56,1015
2009-01-19,France,Bordeaux,12,7,21,SW,20.5,88,76,1002
2009-01-20,France,Bordeaux,6,4,13,SW,10.9,90,61,1000
2009-01-21,France,Bordeaux,8,5,14,W,3.7,87,51,1010
2009-01-22,France,Bordeaux,11,6,22,SSW,8.8,94,94,1003
2009-01-23,France,Bordeaux,14,8,28,WSW,10.6,89,85,993
2009-01-24,France,Bordeaux,10,7,37,W,24.6,85,80,991
2009-01-25,France,Bordeaux,8,6,18,SSW,3.9,89,52,996
2009-01-26,France,Bordeaux,10,6,14,W,1.8,87,55,1002
2009-01-27,France,Bordeaux,10,5,9,SSE,0.6,86,41,1015
2009-01-28,France,Bordeaux,9,4,8,SE,1.0,92,67,1015
2009-01-29,France,Bordeaux,13,6,8,SE,0.1,92,46,1014
2009-01-30,France,Bordeaux,14,6,15,ESE,0.0,86,23,1010
2009-01-31,France,Bordeaux,13,7,13,SE,0.0,87,31,1004
2009-02-01,France,Bordeaux,11,8,13,ESE,0.3,90,81,995
2009-02-02,France,Bordeaux,8,4,8,W,4.0,92,81,992
2009-02-03,France,Bordeaux,7,1,12,SE,0.0,72,19,1000
2009-02-04,France,Bordeaux,13,3,19,SSE,6.3,78,45,992
2009-02-05,France,Bordeaux,13,8,19,SSW,6.8,76,41,992
2009-02-06,France,Bordeaux,10,6,12,WSW,2.8,84,65,992
2009-02-07,France,Bordeaux,7,4,20,NW,0.8,71,61,1000
2009-02-08,France,Bordeaux,7,2,9,WSW,0.3,81,52,1009
2009-02-09,France,Bordeaux,14,8,20,SW,2.0,83,59,1008
2009-02-10,France,Bordeaux,10,7,29,WNW,3.5,76,61,1014
2009-02-11,France,Bordeaux,7,3,8,WSW,3.8,92,64,1021
2009-02-12,France,Bordeaux,8,3,9,WSW,0.0,85,47,1025
2009-02-13,France,Bordeaux,9,1,9,SW,0.0,76,38,1025
2009-02-14,France,Bordeaux,8,2,14,E,0.1,76,16,1025
2009-02-15,France,Bordeaux,8,2,14,E,0.1,76,16,1025
2009-02-16,France,Bordeaux,10,-1,10,NE,0.0,60,16,1027
2009-02-17,France,Bordeaux,11,1,9,SSW,0.0,84,28,1028
2009-02-18,France,Bordeaux,10,6,8,NNW,0.2,86,81,1026
2009-02-19,France,Bordeaux,10,5,11,E,0.1,76,17,1026
2009-02-20,France,Bordeaux,12,2,11,ENE,0.0,61,11,1029
2009-02-21,France,Bordeaux,12,3,13,NNE,0.0,70,20,1032
2009-02-22,France,Bordeaux,11,4,10,WSW,0.0,81,24,1033
2009-02-23,France,Bordeaux,12,7,7,WNW,0.2,82,51,1026
2009-02-24,France,Bordeaux,12,7,13,NE,0.0,74,20,1024
2009-02-25,France,Bordeaux,15,3,10,ENE,0.0,67,0,1027
2009-02-26,France,Bordeaux,17,4,8,ESE,0.0,64,5,1027
2009-02-27,France,Bordeaux,15,4,9,NE,0.0,71,7,1022
2009-02-28,France,Bordeaux,17,7,11,ESE,0.0,69,13,1011
2009-03-01,France,Bordeaux,13,8,9,W,0.0,76,70,1012
2009-03-02,France,Bordeaux,12,6,10,W,0.1,76,24,1019
2009-03-03,France,Bordeaux,13,3,7,SSW,0.0,74,2,1017
2009-03-04,France,Bordeaux,7,5,20,WSW,8.7,85,72,994
2009-03-05,France,Bordeaux,7,4,17,WNW,7.2,90,81,992
2009-03-06,France,Bordeaux,10,5,15,NW,0.0,71,29,1010
2009-03-07,France,Bordeaux,12,5,11,W,0.6,86,65,1018
2009-03-08,France,Bordeaux,12,8,16,W,1.6,90,74,1019
2009-03-09,France,Bordeaux,12,7,12,WNW,0.0,75,25,1024
2009-03-10,France,Bordeaux,12,6,13,WSW,0.5,82,33,1023
2009-03-11,France,Bordeaux,14,8,10,W,0.6,81,36,1026
2009-03-12,France,Bordeaux,18,6,8,ENE,0.0,74,10,1026
2009-03-13,France,Bordeaux,23,8,8,SSE,0.0,72,2,1021
2009-03-14,France,Bordeaux,16,9,10,WNW,0.1,74,33,1023
2009-03-15,France,Bordeaux,15,8,11,ENE,0.0,74,24,1029
2009-03-16,France,Bordeaux,18,7,12,ENE,0.0,63,7,1028
2009-03-17,France,Bordeaux,20,8,12,E,0.0,61,2,1026
2009-03-18,France,Bordeaux,22,9,11,ENE,0.0,62,3,1023
2009-03-19,France,Bordeaux,21,10,13,ENE,0.0,55,1,1019
2009-03-20,France,Bordeaux,18,8,17,NE,0.0,43,11,1022
2009-03-21,France,Bordeaux,14,3,16,NE,0.0,42,7,1025
2009-03-22,France,Bordeaux,15,4,13,NNE,0.0,48,3,1029
2009-03-23,France,Bordeaux,17,5,10,S,0.0,66,2,1026
2009-03-24,France,Bordeaux,13,8,15,WNW,0.1,64,18,1021
2009-03-25,France,Bordeaux,13,4,15,WNW,1.0,76,36,1019
2009-03-26,France,Bordeaux,14,7,10,W,0.2,76,20,1017
2009-03-27,France,Bordeaux,11,8,14,WSW,2.8,89,79,1011
2009-03-28,France,Bordeaux,13,8,15,WSW,7.2,70,41,1005
2009-03-29,France,Bordeaux,13,5,15,ESE,0.0,65,9,1011
2009-03-30,France,Bordeaux,13,3,14,NE,0.0,59,19,1018
2009-03-31,France,Bordeaux,16,4,14,ESE,0.0,59,11,1017
2009-04-01,France,Bordeaux,15,7,13,SSE,0.0,66,18,1014
2009-04-02,France,Bordeaux,16,7,9,NW,0.0,73,16,1015
2009-04-03,France,Bordeaux,16,9,7,WNW,0.1,80,48,1020
2009-04-04,France,Bordeaux,15,7,7,WSW,0.0,81,27,1022
2009-04-05,France,Bordeaux,19,7,6,SW,0.0,73,45,1021
2009-04-06,France,Bordeaux,21,10,12,SSW,1.2,67,38,1012
2009-04-07,France,Bordeaux,13,9,10,W,0.7,79,47,1015
2009-04-08,France,Bordeaux,14,8,8,SSW,0.3,85,45,1019
2009-04-09,France,Bordeaux,21,8,15,SE,0.0,65,7,1011
2009-04-10,France,Bordeaux,12,9,11,SSW,22.0,92,83,1004
2009-04-11,France,Bordeaux,11,8,16,NW,8.1,86,86,1009
2009-04-12,France,Bordeaux,12,8,14,NW,7.2,83,74,1014
2009-04-13,France,Bordeaux,16,9,6,WNW,0.3,70,49,1014
2009-04-14,France,Bordeaux,19,8,7,SE,1.1,78,22,1007
2009-04-15,France,Bordeaux,15,9,12,S,27.2,88,54,1003
2009-04-16,France,Bordeaux,16,8,7,SSW,3.3,80,42,1008
2009-04-17,France,Bordeaux,15,8,7,W,1.0,81,29,1013
2009-04-18,France,Bordeaux,18,6,6,SSE,0.3,76,36,1015
2009-04-19,France,Bordeaux,16,9,11,SSW,0.5,80,19,1019
2009-04-20,France,Bordeaux,17,7,9,WNW,0.1,79,23,1024
2009-04-21,France,Bordeaux,18,11,14,NW,0.2,76,16,1026
2009-04-22,France,Bordeaux,19,10,9,SW,0.0,71,1,1026
2009-04-23,France,Bordeaux,22,10,9,E,0.0,66,12,1021
2009-04-24,France,Bordeaux,24,11,12,SSE,0.4,68,31,1012
2009-04-25,France,Bordeaux,12,10,6,WSW,5.3,86,74,1012
2009-04-26,France,Bordeaux,13,9,11,NW,0.5,78,44,1012
2009-04-27,France,Bordeaux,13,9,18,WSW,12.8,89,81,1009
2009-04-28,France,Bordeaux,12,9,21,W,17.1,88,72,1008
2009-04-29,France,Bordeaux,16,9,15,W,9.2,85,75,1015
2009-04-30,France,Bordeaux,13,10,7,WSW,2.9,91,71,1018
2009-05-01,France,Bordeaux,16,11,15,NNW,1.7,83,54,1026
2009-05-02,France,Bordeaux,19,9,11,SW,0.0,75,6,1030
2009-05-03,France,Bordeaux,21,11,13,SSE,0.3,77,20,1027
2009-05-04,France,Bordeaux,17,11,13,W,0.0,76,31,1027
2009-05-05,France,Bordeaux,19,11,10,SSE,0.0,68,10,1029
2009-05-06,France,Bordeaux,25,10,8,NE,0.0,73,4,1023
2009-05-07,France,Bordeaux,21,13,10,SW,0.6,77,9,1017
2009-05-08,France,Bordeaux,19,11,7,SW,0.1,74,26,1018
2009-05-09,France,Bordeaux,24,12,8,ENE,6.0,75,41,1014
2009-05-10,France,Bordeaux,22,15,9,ESE,12.5,86,44,1012
2009-05-11,France,Bordeaux,25,14,10,SSE,19.4,85,36,1009
2009-05-12,France,Bordeaux,22,14,10,SSW,9.6,78,29,1012
2009-05-13,France,Bordeaux,21,15,6,SSW,12.1,90,79,1012
2009-05-14,France,Bordeaux,17,12,15,W,12.2,90,71,1011
2009-05-15,France,Bordeaux,15,11,17,W,1.2,77,55,1015
2009-05-16,France,Bordeaux,19,10,12,WSW,1.6,76,59,1014
2009-05-17,France,Bordeaux,18,11,9,SSW,2.2,76,33,1015
2009-05-18,France,Bordeaux,18,11,6,WNW,0.7,80,61,1021
2009-05-19,France,Bordeaux,19,11,11,SW,0.4,77,34,1021
2009-05-20,France,Bordeaux,25,12,9,S,0.1,74,16,1017
2009-05-21,France,Bordeaux,22,17,7,WNW,0.8,81,43,1015
2009-05-22,France,Bordeaux,25,15,8,SE,0.0,75,21,1015
2009-05-23,France,Bordeaux,25,18,10,SSW,1.5,79,24,1012
2009-05-24,France,Bordeaux,26,15,5,S,0.0,76,14,1016
2009-05-25,France,Bordeaux,22,14,14,W,0.2,81,32,1016
2009-05-26,France,Bordeaux,18,12,17,W,0.9,78,56,1023
2009-05-27,France,Bordeaux,19,10,11,W,0.0,66,8,1031
2009-05-28,France,Bordeaux,23,11,12,NNE,0.0,68,5,1029
2009-05-29,France,Bordeaux,26,14,14,ENE,0.0,63,0,1020
2009-05-30,France,Bordeaux,26,16,11,ENE,0.0,56,0,1014
2009-05-31,France,Bordeaux,26,16,14,NNE,0.0,62,0,1015
2009-06-01,France,Bordeaux,24,16,14,NNE,0.0,62,1,1018
2009-06-02,France,Bordeaux,26,16,12,NNE,0.0,63,9,1018
2009-06-03,France,Bordeaux,27,17,12,NE,0.0,58,1,1016
2009-06-04,France,Bordeaux,26,16,11,NE,0.0,59,19,1013
2009-06-05,France,Bordeaux,20,16,12,SSE,3.0,80,57,1006
2009-06-06,France,Bordeaux,19,14,18,WSW,17.5,80,58,1002
2009-06-07,France,Bordeaux,20,13,14,W,4.1,75,49,1008
2009-06-08,France,Bordeaux,21,13,14,SSW,6.4,74,51,1006
2009-06-09,France,Bordeaux,20,13,16,SW,4.1,70,38,1013
2009-06-10,France,Bordeaux,25,14,16,SSW,0.7,72,48,1015
2009-06-11,France,Bordeaux,22,16,10,WNW,0.0,74,44,1023
2009-06-12,France,Bordeaux,27,13,7,NE,0.0,67,4,1022
2009-06-13,France,Bordeaux,32,16,10,SSE,0.0,60,7,1018
2009-06-14,France,Bordeaux,27,17,6,SSW,2.3,83,43,1019
2009-06-15,France,Bordeaux,21,16,9,W,12.6,86,53,1019
2009-06-16,France,Bordeaux,23,14,7,E,0.0,66,9,1023
2009-06-17,France,Bordeaux,29,17,8,S,1.0,71,17,1019
2009-06-18,France,Bordeaux,26,17,7,NW,0.6,71,11,1021
2009-06-19,France,Bordeaux,22,16,11,NNW,0.1,70,27,1023
2009-06-20,France,Bordeaux,21,14,14,WSW,0.0,62,5,1025
2009-06-21,France,Bordeaux,21,13,11,SW,0.0,68,14,1025
2009-06-22,France,Bordeaux,24,14,10,ENE,0.0,63,6,1023
2009-06-23,France,Bordeaux,25,14,15,NE,0.0,52,0,1020
2009-06-24,France,Bordeaux,26,15,11,S,0.0,59,7,1013
2009-06-25,France,Bordeaux,25,17,11,W,0.0,69,12,1012
2009-06-26,France,Bordeaux,24,16,9,NW,0.4,72,25,1015
2009-06-27,France,Bordeaux,27,15,6,SE,0.0,64,10,1016
2009-06-28,France,Bordeaux,32,19,11,S,0.0,57,12,1013
2009-06-29,France,Bordeaux,32,18,7,SE,0.0,63,25,1016
2009-06-30,France,Bordeaux,33,21,8,SSE,3.1,60,35,1017
2009-07-01,France,Bordeaux,34,21,5,E,3.0,62,22,1018
2009-07-02,France,Bordeaux,26,20,9,WSW,1.6,76,37,1018
2009-07-03,France,Bordeaux,26,18,8,WSW,0.3,76,69,1017
2009-07-04,France,Bordeaux,27,19,11,WSW,0.5,68,45,1015
2009-07-05,France,Bordeaux,24,19,11,WNW,0.6,71,65,1015
2009-07-06,France,Bordeaux,22,17,9,WNW,2.7,80,53,1015
2009-07-07,France,Bordeaux,21,16,14,W,5.1,77,30,1016
2009-07-08,France,Bordeaux,22,15,9,W,0.7,71,22,1019
2009-07-09,France,Bordeaux,22,14,10,W,0.2,66,24,1021
2009-07-10,France,Bordeaux,22,14,8,NNW,0.0,68,27,1021
2009-07-11,France,Bordeaux,29,14,5,SE,0.0,64,12,1018
2009-07-12,France,Bordeaux,27,18,11,WSW,0.0,71,11,1015
2009-07-13,France,Bordeaux,28,18,10,S,1.3,76,38,1013
2009-07-14,France,Bordeaux,25,17,8,W,0.5,76,48,1015
2009-07-15,France,Bordeaux,26,15,7,SW,0.0,65,25,1019
2009-07-16,France,Bordeaux,32,18,15,SSE,0.4,61,9,1018
2009-07-17,France,Bordeaux,19,16,21,W,8.0,78,51,1021
2009-07-18,France,Bordeaux,21,16,16,W,0.4,68,46,1023
2009-07-19,France,Bordeaux,24,17,9,W,1.0,76,45,1021
2009-07-20,France,Bordeaux,31,15,6,ESE,0.0,67,13,1018
2009-07-21,France,Bordeaux,32,19,13,SW,4.2,55,21,1010
2009-07-22,France,Bordeaux,30,18,9,S,5.3,70,20,1007
2009-07-23,France,Bordeaux,24,18,15,WSW,9.7,78,31,1011
2009-07-24,France,Bordeaux,23,17,10,W,7.5,81,43,1020
2009-07-25,France,Bordeaux,26,14,7,SSE,0.1,67,7,1026
2009-07-26,France,Bordeaux,31,16,8,ENE,0.0,56,4,1019
2009-07-27,France,Bordeaux,23,17,13,NW,0.8,67,18,1018
2009-07-28,France,Bordeaux,27,14,7,NE,0.0,61,11,1020
2009-07-29,France,Bordeaux,26,18,13,S,0.0,61,6,1019
2009-07-30,France,Bordeaux,23,18,10,WNW,0.0,62,16,1025
2009-07-31,France,Bordeaux,29,15,8,SSE,0.0,56,5,1020
2009-08-01,France,Bordeaux,27,16,10,SSW,3.3,67,34,1013
2009-08-02,France,Bordeaux,21,16,10,NW,4.4,72,51,1018
2009-08-03,France,Bordeaux,23,15,5,S,1.6,70,43,1018
2009-08-04,France,Bordeaux,29,16,10,ENE,0.0,59,7,1017
2009-08-05,France,Bordeaux,31,20,8,E,0.0,54,8,1016
2009-08-06,France,Bordeaux,29,18,10,WNW,1.1,73,23,1017
2009-08-07,France,Bordeaux,24,19,12,NW,2.1,83,80,1021
2009-08-08,France,Bordeaux,24,18,9,WSW,3.3,80,67,1020
2009-08-09,France,Bordeaux,20,17,7,WNW,20.8,93,79,1017
2009-08-10,France,Bordeaux,25,16,9,NNW,1.0,71,14,1021
2009-08-11,France,Bordeaux,26,16,8,WSW,0.0,67,9,1023
2009-08-12,France,Bordeaux,27,17,9,S,0.0,71,7,1022
2009-08-13,France,Bordeaux,30,19,9,S,0.0,62,1,1018
2009-08-14,France,Bordeaux,31,19,7,SSW,0.0,59,2,1017
2009-08-15,France,Bordeaux,37,21,9,S,0.1,52,3,1015
2009-08-16,France,Bordeaux,30,21,8,WSW,0.3,67,22,1017
2009-08-17,France,Bordeaux,28,20,7,WNW,2.4,73,8,1018
2009-08-18,France,Bordeaux,31,17,5,SE,0.0,69,5,1018
2009-08-19,France,Bordeaux,33,22,8,SSW,0.0,65,4,1017
2009-08-20,France,Bordeaux,26,21,10,WNW,0.0,75,12,1020
2009-08-21,France,Bordeaux,24,18,11,WSW,0.1,63,26,1024
2009-08-22,France,Bordeaux,26,16,8,SE,0.0,56,10,1022
2009-08-23,France,Bordeaux,33,18,9,ENE,0.0,53,3,1014
2009-08-24,France,Bordeaux,25,20,9,WSW,1.1,68,16,1010
2009-08-25,France,Bordeaux,23,17,7,SW,4.8,81,47,1014
2009-08-26,France,Bordeaux,29,16,8,S,0.0,69,19,1016
2009-08-27,France,Bordeaux,29,17,8,SW,0.0,73,12,1018
2009-08-28,France,Bordeaux,23,16,12,NW,0.1,74,33,1022
2009-08-29,France,Bordeaux,22,14,10,S,0.0,62,2,1024
2009-08-30,France,Bordeaux,25,13,8,ESE,0.0,53,5,1021
2009-08-31,France,Bordeaux,33,16,12,SE,0.1,48,5,1013
2009-09-01,France,Bordeaux,21,19,9,W,2.4,83,55,1016
2009-09-02,France,Bordeaux,23,15,7,S,0.9,80,61,1016
2009-09-03,France,Bordeaux,21,18,15,WSW,3.9,79,74,1015
2009-09-04,France,Bordeaux,21,15,19,WNW,3.8,70,36,1018
2009-09-05,France,Bordeaux,21,12,9,ENE,0.0,63,1,1026
2009-09-06,France,Bordeaux,26,12,10,E,0.0,57,1,1022
2009-09-07,France,Bordeaux,29,16,8,S,0.0,51,1,1019
2009-09-08,France,Bordeaux,32,18,9,E,0.0,49,3,1018
2009-09-09,France,Bordeaux,28,19,6,SSE,0.0,53,19,1020
2009-09-10,France,Bordeaux,29,18,12,NE,0.0,49,8,1023
2009-09-11,France,Bordeaux,26,18,16,NE,0.0,58,9,1023
2009-09-12,France,Bordeaux,25,16,14,NE,0.0,59,9,1018
2009-09-13,France,Bordeaux,25,15,14,NNE,0.0,57,4,1018
2009-09-14,France,Bordeaux,21,14,17,NNE,0.0,56,10,1016
2009-09-15,France,Bordeaux,18,13,9,SE,5.0,75,37,1014
2009-09-16,France,Bordeaux,22,10,9,NE,0.0,76,20,1011
2009-09-17,France,Bordeaux,24,12,7,E,0.0,69,12,1012
2009-09-18,France,Bordeaux,19,15,10,E,4.5,81,45,1010
2009-09-19,France,Bordeaux,19,14,9,WSW,13.0,93,68,1016
2009-09-20,France,Bordeaux,19,15,12,NW,14.1,92,72,1022
2009-09-21,France,Bordeaux,22,14,11,S,1.8,86,44,1025
2009-09-22,France,Bordeaux,24,14,10,SSE,0.0,75,8,1026
2009-09-23,France,Bordeaux,29,15,7,E,0.0,71,1,1025
2009-09-24,France,Bordeaux,25,16,9,S,0.0,69,7,1023
2009-09-25,France,Bordeaux,24,14,12,NNE,0.0,67,4,1023
2009-09-26,France,Bordeaux,24,13,10,NNE,0.0,68,10,1022
2009-09-27,France,Bordeaux,26,14,7,ESE,0.0,66,5,1023
2009-09-28,France,Bordeaux,26,15,8,NE,0.0,65,12,1023
2009-09-29,France,Bordeaux,27,15,9,NE,0.0,57,1,1020
2009-09-30,France,Bordeaux,27,15,8,SSW,0.0,61,4,1016
2009-10-01,France,Bordeaux,24,14,9,SSW,0.0,67,9,1017
2009-10-02,France,Bordeaux,21,11,8,SE,0.0,70,8,1020
2009-10-03,France,Bordeaux,21,10,6,SSW,0.0,73,2,1020
2009-10-04,France,Bordeaux,24,11,9,ESE,0.1,66,23,1016
2009-10-05,France,Bordeaux,27,18,10,SSE,1.5,61,40,1013
2009-10-06,France,Bordeaux,27,20,12,SSW,0.4,56,32,1014
2009-10-07,France,Bordeaux,28,20,15,S,3.2,63,31,1012
2009-10-08,France,Bordeaux,22,17,10,WSW,3.5,83,46,1014
2009-10-09,France,Bordeaux,19,15,10,SW,1.3,88,58,1018
2009-10-10,France,Bordeaux,22,15,10,W,0.7,81,42,1020
2009-10-11,France,Bordeaux,20,15,6,SW,0.4,90,66,1022
2009-10-12,France,Bordeaux,19,14,14,SE,0.3,69,28,1024
2009-10-13,France,Bordeaux,18,10,14,NE,0.0,62,1,1028
2009-10-14,France,Bordeaux,18,10,16,NE,0.0,56,7,1025
2009-10-15,France,Bordeaux,13,5,18,NE,0.0,40,0,1025
2009-10-16,France,Bordeaux,15,3,13,NNE,0.0,52,0,1029
2009-10-17,France,Bordeaux,15,8,13,NE,0.0,68,6,1026
2009-10-18,France,Bordeaux,15,6,11,NE,0.0,60,4,1023
2009-10-19,France,Bordeaux,16,5,16,ESE,0.0,48,16,1012
2009-10-20,France,Bordeaux,19,12,16,S,1.8,64,55,999
2009-10-21,France,Bordeaux,17,11,8,S,5.2,85,35,998
2009-10-22,France,Bordeaux,15,11,11,SSW,1.7,83,30,1001
2009-10-23,France,Bordeaux,16,12,11,SW,3.6,91,68,1014
2009-10-24,France,Bordeaux,19,17,11,WSW,12.0,95,91,1017
2009-10-25,France,Bordeaux,22,14,6,SSW,0.0,83,14,1020
2009-10-26,France,Bordeaux,20,11,8,ENE,0.0,76,5,1021
2009-10-27,France,Bordeaux,21,10,11,ESE,0.0,66,5,1017
2009-10-28,France,Bordeaux,23,13,7,ESE,0.0,72,5,1018
2009-10-29,France,Bordeaux,23,13,8,E,0.0,71,20,1018
2009-10-30,France,Bordeaux,24,14,5,SE,0.0,76,5,1020
2009-10-31,France,Bordeaux,22,15,3,S,0.0,75,37,1025
2009-11-01,France,Bordeaux,19,14,15,SSW,27.0,83,63,1016
2009-11-02,France,Bordeaux,14,11,21,W,15.9,78,48,1013
2009-11-03,France,Bordeaux,16,15,27,W,26.0,88,99,1006
2009-11-04,France,Bordeaux,13,11,22,W,14.3,84,58,1003
2009-11-05,France,Bordeaux,13,10,12,W,2.1,82,54,1004
2009-11-06,France,Bordeaux,14,9,11,SSW,0.3,82,46,1011
2009-11-07,France,Bordeaux,13,10,20,W,12.3,86,80,1007
2009-11-08,France,Bordeaux,11,9,22,NW,9.2,88,90,1005
2009-11-09,France,Bordeaux,10,7,11,E,0.0,84,32,1016
2009-11-10,France,Bordeaux,7,5,10,SE,4.6,91,64,1016
2009-11-11,France,Bordeaux,15,8,9,SSW,16.3,96,85,1010
2009-11-12,France,Bordeaux,15,13,9,S,14.9,93,63,1011
2009-11-13,France,Bordeaux,18,13,16,SSE,0.0,80,19,1010
2009-11-14,France,Bordeaux,17,13,13,S,0.4,69,31,1012
2009-11-15,France,Bordeaux,15,12,15,SSE,2.2,84,61,1012
2009-11-16,France,Bordeaux,16,14,10,SSE,6.9,86,66,1011
2009-11-17,France,Bordeaux,15,12,8,SW,0.7,86,38,1016
2009-11-18,France,Bordeaux,16,10,6,SSE,0.0,86,11,1024
2009-11-19,France,Bordeaux,17,10,13,SE,0.0,82,18,1020
2009-11-20,France,Bordeaux,18,12,14,SSE,0.0,78,12,1021
2009-11-21,France,Bordeaux,17,13,17,SSE,0.3,76,40,1020
2009-11-22,France,Bordeaux,15,12,20,WSW,17.1,84,61,1022
2009-11-23,France,Bordeaux,15,13,23,WSW,8.5,86,70,1024
2009-11-24,France,Bordeaux,16,12,14,SSW,2.3,85,30,1023
2009-11-25,France,Bordeaux,15,11,15,SW,0.8,73,32,1015
2009-11-26,France,Bordeaux,14,11,16,SW,2.0,78,18,1018
2009-11-27,France,Bordeaux,12,11,15,WSW,9.9,82,66,1015
2009-11-28,France,Bordeaux,13,10,22,SSW,8.1,78,70,1011
2009-11-29,France,Bordeaux,10,8,18,SW,13.6,84,62,999
2009-11-30,France,Bordeaux,10,8,15,WNW,6.6,88,77,1002
2009-12-01,France,Bordeaux,9,7,11,SW,0.8,81,40,1015
2009-12-02,France,Bordeaux,13,8,14,SSW,6.3,91,66,1010
2009-12-03,France,Bordeaux,13,10,14,W,5.4,87,62,1010
2009-12-04,France,Bordeaux,10,8,14,SW,11.1,91,96,1015
2009-12-05,France,Bordeaux,14,11,16,SSW,1.5,85,46,1014
2009-12-06,France,Bordeaux,14,13,16,SW,2.7,82,64,1011
2009-12-07,France,Bordeaux,14,12,15,SW,11.5,92,92,1013
2009-12-08,France,Bordeaux,13,10,8,SW,7.0,88,49,1019
2009-12-09,France,Bordeaux,15,11,7,SSW,0.0,88,18,1025
2009-12-10,France,Bordeaux,15,10,7,ESE,0.0,89,31,1028
2009-12-11,France,Bordeaux,11,6,17,ENE,0.0,76,11,1023
2009-12-12,France,Bordeaux,8,4,17,NE,0.0,79,12,1021
2009-12-13,France,Bordeaux,5,2,19,NNE,0.0,73,62,1017
2009-12-14,France,Bordeaux,3,0,17,NNE,0.0,74,29,1014
2009-12-15,France,Bordeaux,2,-1,11,ENE,0.0,72,8,1015
2009-12-16,France,Bordeaux,0,-3,9,NE,0.0,63,10,1013
2009-12-17,France,Bordeaux,3,-3,11,SSE,0.7,68,11,1013
2009-12-18,France,Bordeaux,4,-1,15,SE,6.3,89,62,1009
2009-12-19,France,Bordeaux,3,-3,7,SSE,0.0,83,26,1014
2009-12-20,France,Bordeaux,8,0,15,SSW,0.0,85,25,1011
2009-12-21,France,Bordeaux,8,1,23,SSE,2.5,84,59,994
2009-12-22,France,Bordeaux,10,6,15,SSE,22.5,90,89,991
2009-12-23,France,Bordeaux,7,5,10,SSE,4.5,96,58,995
2009-12-24,France,Bordeaux,12,3,23,SSE,4.8,90,56,986
2009-12-25,France,Bordeaux,11,6,8,SW,0.8,80,28,1006
2009-12-26,France,Bordeaux,7,4,9,E,0.0,78,17,1008
2009-12-27,France,Bordeaux,10,5,12,SW,12.0,89,53,1014
2009-12-28,France,Bordeaux,12,8,17,S,1.1,89,55,1002
2009-12-29,France,Bordeaux,15,13,13,SSW,6.7,93,36,1001
2009-12-30,France,Bordeaux,15,11,18,SSW,9.3,83,36,997
2009-12-31,France,Bordeaux,10,9,12,S,17.2,93,68,993
2010-01-01,France,Bordeaux,8,3,17,WNW,2.2,87,78,1001
2010-01-02,France,Bordeaux,5,1,13,E,1.4,80,56,1018
2010-01-03,France,Bordeaux,4,1,16,ESE,24.8,87,81,1014
2010-01-04,France,Bordeaux,5,2,11,NE,0.4,92,75,1010
2010-01-05,France,Bordeaux,3,0,10,SE,0.1,81,24,1005
2010-01-06,France,Bordeaux,7,-1,7,SSW,4.9,82,29,1004
2010-01-07,France,Bordeaux,2,-1,14,ENE,4.4,92,65,1007
2010-01-08,France,Bordeaux,2,-2,22,NNE,0.0,78,41,1012
2010-01-09,France,Bordeaux,-1,-2,16,S,0.1,74,91,1015
2010-01-10,France,Bordeaux,3,-2,7,ENE,0.3,80,60,1016
2010-01-11,France,Bordeaux,4,-3,7,E,0.0,78,17,1017
2010-01-12,France,Bordeaux,7,-2,17,SSE,5.5,85,55,1008
2010-01-13,France,Bordeaux,10,7,16,SW,2.9,90,35,1005
2010-01-14,France,Bordeaux,7,6,19,SW,14.8,94,92,999
2010-01-15,France,Bordeaux,9,4,11,SSE,0.0,91,20,1021
2010-01-16,France,Bordeaux,11,4,17,S,8.6,88,67,1016
2010-01-17,France,Bordeaux,11,8,8,SSW,0.6,90,63,1024
2010-01-18,France,Bordeaux,10,4,14,E,0.0,85,14,1024
2010-01-19,France,Bordeaux,9,5,14,SE,6.0,91,60,1016
