date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Larvik,0,-2,14,SW,0.1,62,31,1028
2009-01-02,Norway,Larvik,-3,-4,18,NW,0.0,73,19,1028
2009-01-03,Norway,Larvik,2,-2,21,SSW,0.0,82,37,1013
2009-01-04,Norway,Larvik,-4,-8,16,NE,2.5,88,37,1019
2009-01-05,Norway,Larvik,-3,-7,14,NW,0.0,73,7,1025
2009-01-06,Norway,Larvik,2,-2,28,W,0.0,79,18,1011
2009-01-07,Norway,Larvik,-3,-5,25,NW,0.0,74,15,1015
2009-01-08,Norway,Larvik,4,-4,28,WSW,1.7,88,51,1014
2009-01-09,Norway,Larvik,4,3,22,W,0.0,89,33,1017
2009-01-10,Norway,Larvik,3,2,31,SW,0.0,88,24,1020
2009-01-11,Norway,Larvik,6,4,46,SSW,1.5,90,99,1007
2009-01-12,Norway,Larvik,6,5,43,SW,0.8,91,87,998
2009-01-13,Norway,Larvik,5,3,27,SW,0.0,88,22,1000
2009-01-14,Norway,Larvik,2,1,17,S,0.0,75,11,1010
2009-01-15,Norway,Larvik,0,-2,15,ENE,0.0,57,25,1023
2009-01-16,Norway,Larvik,-1,-3,22,ESE,0.3,72,63,1028
2009-01-17,Norway,Larvik,1,0,33,SE,5.8,85,100,1018
2009-01-18,Norway,Larvik,2,0,39,SE,34.0,93,100,999
2009-01-19,Norway,Larvik,3,2,16,SE,5.6,94,98,992
2009-01-20,Norway,Larvik,3,1,35,SSE,12.5,92,95,987
2009-01-21,Norway,Larvik,4,3,33,SSW,2.0,90,83,1001
2009-01-22,Norway,Larvik,3,1,28,SSE,1.3,90,99,1001
2009-01-23,Norway,Larvik,2,1,31,ESE,10.1,92,100,986
2009-01-24,Norway,Larvik,2,1,31,ENE,11.9,92,100,983
2009-01-25,Norway,Larvik,2,-3,7,S,1.3,93,57,997
2009-01-26,Norway,Larvik,1,-2,6,SE,0.0,90,82,1010
2009-01-27,Norway,Larvik,-1,-8,11,WSW,0.0,91,74,1015
2009-01-28,Norway,Larvik,1,-1,22,WSW,0.6,91,83,1018
2009-01-29,Norway,Larvik,-2,-6,11,WSW,0.5,93,44,1025
2009-01-30,Norway,Larvik,-4,-8,8,SSW,0.0,90,7,1030
2009-01-31,Norway,Larvik,-1,-8,7,E,0.0,84,22,1031
2009-02-01,Norway,Larvik,-6,-8,16,NE,0.0,89,19,1032
2009-02-02,Norway,Larvik,-3,-8,15,NE,0.0,80,11,1027
2009-02-03,Norway,Larvik,-3,-6,21,NE,1.2,88,63,1014
2009-02-04,Norway,Larvik,-1,-4,11,E,6.8,94,99,999
2009-02-05,Norway,Larvik,0,-5,9,SSW,0.4,91,45,997
2009-02-06,Norway,Larvik,-1,-2,19,NNE,4.0,95,100,994
2009-02-07,Norway,Larvik,-1,-4,17,E,12.7,96,100,991
2009-02-08,Norway,Larvik,-5,-7,16,NW,0.0,87,33,989
2009-02-09,Norway,Larvik,-6,-10,11,WNW,0.0,81,9,999
2009-02-10,Norway,Larvik,-4,-8,16,NNE,6.0,94,87,1001
2009-02-11,Norway,Larvik,-7,-9,16,S,0.0,89,27,1009
2009-02-12,Norway,Larvik,-6,-10,11,S,0.0,86,5,1015
2009-02-13,Norway,Larvik,-3,-8,16,W,0.0,85,13,1019
2009-02-14,Norway,Larvik,-5,-7,13,NNW,0.0,82,4,1024
2009-02-15,Norway,Larvik,-3,-7,9,ESE,6.5,88,90,1020
2009-02-16,Norway,Larvik,-2,-3,14,ESE,4.9,94,100,1020
2009-02-17,Norway,Larvik,-5,-6,12,ESE,0.6,92,84,1027
2009-02-18,Norway,Larvik,-3,-7,7,SE,0.3,94,65,1025
2009-02-19,Norway,Larvik,-3,-4,10,ESE,3.7,95,99,1021
2009-02-20,Norway,Larvik,-2,-3,11,SSE,1.7,95,98,1024
2009-02-21,Norway,Larvik,2,-2,24,SSW,12.7,95,99,1021
2009-02-22,Norway,Larvik,2,-1,17,SSW,0.0,94,49,1004
2009-02-23,Norway,Larvik,1,-4,9,SE,0.0,91,35,1013
2009-02-24,Norway,Larvik,2,-4,14,WSW,0.1,92,37,1017
2009-02-25,Norway,Larvik,2,0,16,W,0.0,94,49,1011
2009-02-26,Norway,Larvik,1,-1,16,SSW,2.2,92,50,1000
2009-02-27,Norway,Larvik,2,-4,14,WNW,0.0,85,22,1008
2009-02-28,Norway,Larvik,-2,-9,8,S,0.2,80,52,1016
2009-03-01,Norway,Larvik,1,-1,16,SE,2.5,92,100,1014
2009-03-02,Norway,Larvik,2,1,12,S,7.0,97,100,1007
2009-03-03,Norway,Larvik,3,1,21,SSW,2.3,98,92,1005
2009-03-04,Norway,Larvik,2,2,27,SE,1.8,96,75,1002
2009-03-05,Norway,Larvik,2,1,27,ENE,2.9,96,100,1003
2009-03-06,Norway,Larvik,1,1,22,NE,2.0,96,100,1006
2009-03-07,Norway,Larvik,1,0,12,E,4.6,94,100,1008
2009-03-08,Norway,Larvik,2,1,29,S,10.7,95,81,994
2009-03-09,Norway,Larvik,2,1,19,SSE,2.0,95,92,997
2009-03-10,Norway,Larvik,1,-5,7,SE,0.5,93,65,1003
2009-03-11,Norway,Larvik,1,-5,10,SSW,0.0,90,14,1013
2009-03-12,Norway,Larvik,1,-3,20,SSE,5.2,93,79,1012
2009-03-13,Norway,Larvik,2,0,10,S,0.1,97,91,1011
2009-03-14,Norway,Larvik,2,-4,8,SSW,1.4,96,62,1013
2009-03-15,Norway,Larvik,1,1,12,E,1.4,98,89,1022
2009-03-16,Norway,Larvik,3,1,20,WSW,1.8,97,68,1023
2009-03-17,Norway,Larvik,2,1,25,NW,0.6,85,13,1024
2009-03-18,Norway,Larvik,5,0,16,W,0.0,87,25,1026
2009-03-19,Norway,Larvik,4,0,12,ENE,0.0,81,28,1033
2009-03-20,Norway,Larvik,5,1,10,WSW,0.0,89,16,1030
2009-03-21,Norway,Larvik,3,0,8,NW,0.1,94,38,1020
2009-03-22,Norway,Larvik,6,1,17,WNW,0.2,84,39,1008
2009-03-23,Norway,Larvik,4,0,17,SSE,0.0,77,10,995
2009-03-24,Norway,Larvik,0,-5,21,ENE,0.0,75,15,1005
2009-03-25,Norway,Larvik,0,-5,15,S,0.1,75,40,1003
2009-03-26,Norway,Larvik,1,-5,20,S,0.5,79,50,1001
2009-03-27,Norway,Larvik,1,-1,22,ENE,16.6,95,100,992
2009-03-28,Norway,Larvik,1,-1,18,NNE,2.3,95,93,997
2009-03-29,Norway,Larvik,1,-3,11,SSW,0.0,90,28,1006
2009-03-30,Norway,Larvik,3,-1,34,SW,0.1,91,64,1009
2009-03-31,Norway,Larvik,4,3,28,WSW,0.1,95,67,1012
2009-04-01,Norway,Larvik,7,1,11,WSW,0.0,81,11,1024
2009-04-02,Norway,Larvik,9,3,17,WSW,0.0,86,7,1024
2009-04-03,Norway,Larvik,9,3,10,WSW,0.0,81,11,1019
2009-04-04,Norway,Larvik,9,5,9,S,0.0,79,10,1014
2009-04-05,Norway,Larvik,9,5,25,WSW,0.0,78,27,1014
2009-04-06,Norway,Larvik,10,4,22,WSW,0.0,73,26,1016
2009-04-07,Norway,Larvik,9,4,14,SE,0.8,74,65,1013
2009-04-08,Norway,Larvik,7,5,18,SSE,12.6,95,95,1009
2009-04-09,Norway,Larvik,9,5,16,SW,0.6,87,40,1012
2009-04-10,Norway,Larvik,10,5,11,S,0.0,79,37,1017
2009-04-11,Norway,Larvik,12,6,11,SSE,0.0,75,5,1017
2009-04-12,Norway,Larvik,10,6,9,S,0.1,82,32,1016
2009-04-13,Norway,Larvik,8,7,11,SE,4.5,89,63,1014
2009-04-14,Norway,Larvik,9,7,17,NNE,0.1,90,90,1015
2009-04-15,Norway,Larvik,10,8,12,ENE,0.4,84,78,1021
2009-04-16,Norway,Larvik,11,7,8,SSW,0.7,66,45,1021
2009-04-17,Norway,Larvik,13,6,9,SE,0.0,76,38,1016
2009-04-18,Norway,Larvik,10,6,15,NNE,0.2,67,66,1022
2009-04-19,Norway,Larvik,11,6,18,S,0.0,69,18,1025
2009-04-20,Norway,Larvik,10,7,12,ENE,0.0,78,57,1026
2009-04-21,Norway,Larvik,10,5,10,SE,0.0,74,25,1025
2009-04-22,Norway,Larvik,12,5,6,E,0.0,75,47,1020
2009-04-23,Norway,Larvik,12,7,13,SSW,0.0,69,14,1024
2009-04-24,Norway,Larvik,13,7,19,SSW,0.0,68,7,1024
2009-04-25,Norway,Larvik,13,7,9,S,0.0,66,4,1019
2009-04-26,Norway,Larvik,13,7,12,S,0.0,75,33,1010
2009-04-27,Norway,Larvik,15,8,11,ESE,0.6,79,44,1001
2009-04-28,Norway,Larvik,13,8,13,SSW,0.0,80,41,1007
2009-04-29,Norway,Larvik,13,11,22,NE,0.1,81,44,1013
2009-04-30,Norway,Larvik,17,9,16,ENE,0.0,73,7,1022
2009-05-01,Norway,Larvik,15,9,9,SSE,0.0,67,4,1026
2009-05-02,Norway,Larvik,13,9,20,SSW,0.0,72,27,1023
2009-05-03,Norway,Larvik,12,8,15,WSW,0.0,63,42,1018
2009-05-04,Norway,Larvik,14,8,20,W,0.1,63,23,1011
2009-05-05,Norway,Larvik,13,8,27,WSW,1.1,67,35,1003
2009-05-06,Norway,Larvik,13,7,18,W,0.0,56,29,1000
2009-05-07,Norway,Larvik,12,7,30,SW,2.4,72,48,1003
2009-05-08,Norway,Larvik,12,8,33,SSW,4.0,77,42,1004
2009-05-09,Norway,Larvik,12,8,29,SW,0.3,70,26,1009
2009-05-10,Norway,Larvik,13,8,26,WSW,0.8,67,32,1013
2009-05-11,Norway,Larvik,12,7,17,S,0.0,59,24,1022
2009-05-12,Norway,Larvik,15,6,9,WNW,0.0,62,24,1027
2009-05-13,Norway,Larvik,13,9,13,NE,0.0,62,39,1027
2009-05-14,Norway,Larvik,11,8,18,NE,0.8,69,47,1023
2009-05-15,Norway,Larvik,14,6,15,ENE,0.0,61,8,1020
2009-05-16,Norway,Larvik,15,8,14,ENE,0.0,58,9,1017
2009-05-17,Norway,Larvik,13,8,13,ESE,0.3,66,33,1019
2009-05-18,Norway,Larvik,12,9,12,SSE,9.5,92,87,1016
2009-05-19,Norway,Larvik,13,8,14,SSW,0.0,87,76,1019
2009-05-20,Norway,Larvik,13,8,14,SW,0.4,83,58,1017
2009-05-21,Norway,Larvik,13,8,18,SW,0.2,79,25,1012
2009-05-22,Norway,Larvik,12,7,11,S,16.2,91,80,1005
2009-05-23,Norway,Larvik,16,8,13,W,0.0,77,15,1012
2009-05-24,Norway,Larvik,15,11,19,SW,0.0,75,35,1012
2009-05-25,Norway,Larvik,16,10,16,WSW,0.0,70,4,1015
2009-05-26,Norway,Larvik,12,11,15,S,17.9,88,71,1004
2009-05-27,Norway,Larvik,14,10,34,WSW,1.1,68,38,1004
2009-05-28,Norway,Larvik,16,9,22,W,0.7,61,24,1014
2009-05-29,Norway,Larvik,16,10,10,S,0.0,67,22,1033
2009-05-30,Norway,Larvik,20,11,4,SSW,0.0,65,5,1035
2009-05-31,Norway,Larvik,19,12,6,S,0.0,64,4,1031
2009-06-01,Norway,Larvik,20,12,9,S,0.0,67,6,1023
2009-06-02,Norway,Larvik,16,13,17,SSE,0.2,68,30,1014
2009-06-03,Norway,Larvik,13,10,24,S,0.0,51,32,1010
2009-06-04,Norway,Larvik,12,7,24,NW,0.2,55,33,1006
2009-06-05,Norway,Larvik,14,8,15,SSE,0.3,68,75,1007
2009-06-06,Norway,Larvik,14,9,13,S,0.2,62,28,1008
2009-06-07,Norway,Larvik,14,9,12,S,0.0,66,33,1007
2009-06-08,Norway,Larvik,14,9,9,SSE,1.5,67,38,1011
2009-06-09,Norway,Larvik,15,8,8,SSE,0.2,66,24,1012
2009-06-10,Norway,Larvik,13,10,13,ENE,3.1,81,72,1009
2009-06-11,Norway,Larvik,15,10,9,WSW,4.8,80,51,1007
2009-06-12,Norway,Larvik,14,10,24,SW,21.9,88,78,1007
2009-06-13,Norway,Larvik,18,11,11,WNW,0.1,69,16,1011
2009-06-14,Norway,Larvik,15,12,15,SSE,0.0,71,27,1010
2009-06-15,Norway,Larvik,14,10,13,ESE,0.0,65,21,1009
2009-06-16,Norway,Larvik,13,8,14,SE,1.1,78,43,1014
2009-06-17,Norway,Larvik,15,9,15,SSW,0.1,73,27,1017
2009-06-18,Norway,Larvik,17,12,27,SW,8.4,76,46,1005
2009-06-19,Norway,Larvik,14,10,16,SW,3.1,77,35,1004
2009-06-20,Norway,Larvik,16,10,7,WSW,1.5,81,41,1009
2009-06-21,Norway,Larvik,18,11,10,E,0.6,75,19,1018
2009-06-22,Norway,Larvik,17,11,14,SSW,0.0,73,11,1024
2009-06-23,Norway,Larvik,17,11,8,SSW,0.0,74,5,1027
2009-06-24,Norway,Larvik,22,11,6,S,0.0,72,3,1026
2009-06-25,Norway,Larvik,22,14,11,E,0.1,72,18,1025
2009-06-26,Norway,Larvik,22,16,18,ENE,0.0,69,3,1026
2009-06-27,Norway,Larvik,22,15,10,ESE,0.0,70,2,1025
2009-06-28,Norway,Larvik,24,16,10,SE,0.0,67,7,1021
2009-06-29,Norway,Larvik,24,18,7,ESE,0.0,67,15,1022
2009-06-30,Norway,Larvik,23,18,6,SSE,0.0,71,42,1022
2009-07-01,Norway,Larvik,23,18,6,SW,0.1,76,11,1021
2009-07-02,Norway,Larvik,23,16,5,S,0.0,77,6,1020
2009-07-03,Norway,Larvik,23,18,11,SW,0.0,70,8,1014
2009-07-04,Norway,Larvik,23,17,10,SSW,0.0,78,16,1007
2009-07-05,Norway,Larvik,20,17,10,ESE,2.4,89,49,1006
2009-07-06,Norway,Larvik,16,15,13,ENE,12.6,95,96,1002
2009-07-07,Norway,Larvik,18,15,8,S,3.9,86,60,999
2009-07-08,Norway,Larvik,19,15,12,S,2.8,81,25,997
2009-07-09,Norway,Larvik,15,13,16,ENE,16.9,89,82,1000
2009-07-10,Norway,Larvik,16,13,13,NW,3.7,77,86,999
2009-07-11,Norway,Larvik,16,13,13,W,1.2,87,78,1003
2009-07-12,Norway,Larvik,18,13,13,WSW,0.5,79,35,1007
2009-07-13,Norway,Larvik,18,14,15,SSE,13.4,86,55,1007
2009-07-14,Norway,Larvik,19,14,18,SW,0.0,74,14,1010
2009-07-15,Norway,Larvik,20,14,13,SSW,0.7,79,23,1013
2009-07-16,Norway,Larvik,21,14,19,SW,1.5,76,17,1014
2009-07-17,Norway,Larvik,20,14,7,SSW,0.0,75,19,1014
2009-07-18,Norway,Larvik,20,17,23,ENE,18.0,82,59,1006
2009-07-19,Norway,Larvik,18,16,16,SSW,1.7,86,59,1004
2009-07-20,Norway,Larvik,19,15,26,WSW,0.2,70,18,1002
2009-07-21,Norway,Larvik,20,15,25,W,0.0,65,38,1003
2009-07-22,Norway,Larvik,17,12,15,SSW,3.7,81,47,1003
2009-07-23,Norway,Larvik,17,15,12,SSW,6.8,89,63,1001
2009-07-24,Norway,Larvik,19,15,22,SW,0.5,78,18,1002
2009-07-25,Norway,Larvik,17,14,11,WSW,0.4,78,40,1006
2009-07-26,Norway,Larvik,19,14,15,SW,0.0,72,23,1010
2009-07-27,Norway,Larvik,17,15,22,SW,1.9,78,67,1007
2009-07-28,Norway,Larvik,20,14,25,SW,0.1,74,21,1011
2009-07-29,Norway,Larvik,17,14,20,SSW,7.2,83,42,1017
2009-07-30,Norway,Larvik,17,15,29,SE,34.8,89,70,1008
2009-07-31,Norway,Larvik,19,14,32,WSW,6.1,77,53,1007
2009-08-01,Norway,Larvik,17,12,13,WSW,0.0,70,20,1016
2009-08-02,Norway,Larvik,19,13,13,ESE,7.1,78,48,1012
2009-08-03,Norway,Larvik,16,16,12,ESE,19.3,94,94,1013
2009-08-04,Norway,Larvik,19,15,10,SSW,0.0,86,33,1020
2009-08-05,Norway,Larvik,19,14,7,SW,0.0,75,14,1024
2009-08-06,Norway,Larvik,21,15,7,SW,0.0,75,11,1025
2009-08-07,Norway,Larvik,23,15,4,S,0.0,77,5,1024
2009-08-08,Norway,Larvik,21,16,7,SSE,0.4,80,31,1021
2009-08-09,Norway,Larvik,19,16,8,SSE,15.1,89,55,1019
2009-08-10,Norway,Larvik,19,15,10,SSE,6.8,88,61,1013
2009-08-11,Norway,Larvik,20,15,14,WSW,0.0,72,34,1007
2009-08-12,Norway,Larvik,19,14,12,W,0.1,72,23,1005
2009-08-13,Norway,Larvik,18,13,14,SSW,0.5,71,33,1006
2009-08-14,Norway,Larvik,18,11,16,WNW,0.0,57,14,1011
2009-08-15,Norway,Larvik,17,13,23,SSW,13.2,83,74,1007
2009-08-16,Norway,Larvik,18,16,33,WSW,0.2,75,22,1000
2009-08-17,Norway,Larvik,19,15,23,WSW,0.3,70,27,1001
2009-08-18,Norway,Larvik,19,13,14,W,0.0,62,16,1011
2009-08-19,Norway,Larvik,17,12,13,SW,0.0,76,41,1020
2009-08-20,Norway,Larvik,21,16,25,SSE,0.3,80,32,1017
2009-08-21,Norway,Larvik,19,16,21,SSW,9.0,82,27,1013
2009-08-22,Norway,Larvik,17,14,23,SW,0.1,73,24,1016
2009-08-23,Norway,Larvik,17,13,19,SW,0.1,72,23,1021
2009-08-24,Norway,Larvik,19,13,13,SSE,0.0,81,24,1017
2009-08-25,Norway,Larvik,19,14,13,ESE,2.0,81,53,1011
2009-08-26,Norway,Larvik,19,15,24,SW,17.9,78,33,1007
2009-08-27,Norway,Larvik,17,14,21,SSW,3.9,92,78,1008
2009-08-28,Norway,Larvik,17,14,24,SSW,9.3,89,71,1002
2009-08-29,Norway,Larvik,16,13,34,SW,6.2,75,41,999
2009-08-30,Norway,Larvik,17,13,29,WSW,0.1,70,24,1005
2009-08-31,Norway,Larvik,17,13,28,SSW,4.7,86,78,1008
2009-09-01,Norway,Larvik,19,17,28,S,1.4,85,73,1005
2009-09-02,Norway,Larvik,17,14,27,SW,4.4,75,27,1004
2009-09-03,Norway,Larvik,18,12,18,ESE,20.4,87,66,999
2009-09-04,Norway,Larvik,15,13,13,S,19.5,92,84,986
2009-09-05,Norway,Larvik,17,13,13,S,4.8,82,52,999
2009-09-06,Norway,Larvik,18,11,16,W,0.0,75,13,1010
2009-09-07,Norway,Larvik,16,13,25,SW,2.5,86,62,1013
2009-09-08,Norway,Larvik,17,13,25,SW,0.1,84,55,1016
2009-09-09,Norway,Larvik,18,13,25,WSW,0.1,73,28,1019
2009-09-10,Norway,Larvik,17,11,11,W,0.0,70,4,1030
2009-09-11,Norway,Larvik,16,11,12,WNW,0.0,71,32,1030
2009-09-12,Norway,Larvik,17,11,17,WNW,0.0,67,13,1020
2009-09-13,Norway,Larvik,17,13,26,E,0.0,66,29,1022
2009-09-14,Norway,Larvik,16,11,18,NNE,0.0,73,23,1031
2009-09-15,Norway,Larvik,15,10,11,S,0.0,76,1,1028
2009-09-16,Norway,Larvik,16,11,17,WNW,0.0,64,8,1018
2009-09-17,Norway,Larvik,14,9,11,W,0.0,66,22,1020
2009-09-18,Norway,Larvik,17,11,15,SW,0.0,73,16,1021
2009-09-19,Norway,Larvik,16,12,16,SSW,0.0,79,9,1019
2009-09-20,Norway,Larvik,15,12,15,W,1.0,82,34,1015
2009-09-21,Norway,Larvik,15,10,26,WSW,0.0,76,29,1015
2009-09-22,Norway,Larvik,17,14,35,SW,2.3,80,64,1007
2009-09-23,Norway,Larvik,15,12,27,WSW,0.0,66,37,1009
2009-09-24,Norway,Larvik,15,11,26,W,0.1,65,29,1010
2009-09-25,Norway,Larvik,17,12,25,WSW,0.0,76,29,1015
2009-09-26,Norway,Larvik,18,13,24,WSW,0.0,76,9,1018
2009-09-27,Norway,Larvik,16,12,33,SW,0.0,76,35,1014
2009-09-28,Norway,Larvik,14,9,25,W,0.2,61,31,1007
2009-09-29,Norway,Larvik,13,7,20,NW,0.0,52,5,1010
2009-09-30,Norway,Larvik,11,4,17,WNW,0.2,65,16,1008
2009-10-01,Norway,Larvik,11,6,21,SW,0.0,59,22,1001
2009-10-02,Norway,Larvik,10,4,11,WNW,0.0,61,10,1006
2009-10-03,Norway,Larvik,11,6,26,SSW,13.4,82,73,988
2009-10-04,Norway,Larvik,12,7,24,WNW,0.8,69,44,982
2009-10-05,Norway,Larvik,11,6,17,WNW,1.0,61,12,1006
2009-10-06,Norway,Larvik,13,4,26,SSW,11.7,81,70,1006
2009-10-07,Norway,Larvik,12,8,33,WSW,1.3,68,20,998
2009-10-08,Norway,Larvik,10,4,20,W,0.1,71,39,1004
2009-10-09,Norway,Larvik,9,4,13,WNW,0.0,60,23,1020
2009-10-10,Norway,Larvik,9,4,10,ENE,0.2,76,65,1022
2009-10-11,Norway,Larvik,7,6,17,E,4.0,89,96,1014
2009-10-12,Norway,Larvik,8,5,22,W,0.0,78,68,1018
2009-10-13,Norway,Larvik,7,3,25,E,0.0,65,2,1029
2009-10-14,Norway,Larvik,6,2,11,ENE,0.0,71,4,1034
2009-10-15,Norway,Larvik,8,2,7,SSE,0.0,69,6,1029
2009-10-16,Norway,Larvik,9,5,38,E,3.8,76,46,1018
2009-10-17,Norway,Larvik,9,6,29,N,0.0,70,7,1025
2009-10-18,Norway,Larvik,9,3,13,W,0.0,76,46,1017
2009-10-19,Norway,Larvik,9,5,10,WSW,0.0,75,36,1010
2009-10-20,Norway,Larvik,8,5,8,E,1.0,85,58,1016
2009-10-21,Norway,Larvik,8,6,14,E,0.2,85,38,1021
2009-10-22,Norway,Larvik,7,6,23,ENE,2.7,89,97,1019
2009-10-23,Norway,Larvik,7,6,21,ENE,4.0,90,100,1020
2009-10-24,Norway,Larvik,5,5,20,ENE,4.7,91,100,1021
2009-10-25,Norway,Larvik,6,6,19,ENE,8.9,95,100,1009
2009-10-26,Norway,Larvik,8,6,12,SW,1.0,87,55,1008
2009-10-27,Norway,Larvik,8,4,12,NNW,0.0,78,9,1017
2009-10-28,Norway,Larvik,6,4,8,ENE,0.4,78,29,1021
2009-10-29,Norway,Larvik,6,3,8,ENE,0.1,85,7,1028
2009-10-30,Norway,Larvik,6,3,9,SSW,0.0,85,17,1033
2009-10-31,Norway,Larvik,6,3,13,S,0.8,87,97,1030
2009-11-01,Norway,Larvik,5,4,20,SE,2.4,89,100,1018
2009-11-02,Norway,Larvik,7,4,28,SE,23.0,94,100,1000
2009-11-03,Norway,Larvik,8,5,32,SE,6.5,93,100,999
2009-11-04,Norway,Larvik,3,2,35,E,3.2,83,99,999
2009-11-05,Norway,Larvik,3,2,29,ENE,3.1,84,100,1002
2009-11-06,Norway,Larvik,3,2,16,NNE,0.3,89,80,1005
2009-11-07,Norway,Larvik,8,5,22,ESE,6.2,92,98,1002
2009-11-08,Norway,Larvik,6,6,17,ENE,2.1,91,100,1014
2009-11-09,Norway,Larvik,7,3,20,NNE,0.4,87,36,1023
2009-11-10,Norway,Larvik,3,1,25,NNE,0.0,86,37,1017
2009-11-11,Norway,Larvik,3,2,20,NE,0.7,83,100,1015
2009-11-12,Norway,Larvik,2,2,14,ENE,1.4,80,100,1014
2009-11-13,Norway,Larvik,3,1,23,E,6.8,84,99,1012
2009-11-14,Norway,Larvik,9,2,24,ESE,16.3,95,100,1005
2009-11-15,Norway,Larvik,9,6,23,SSW,3.0,91,50,1004
2009-11-16,Norway,Larvik,6,5,13,ESE,0.9,93,72,1009
2009-11-17,Norway,Larvik,8,6,26,SSE,13.3,94,92,998
2009-11-18,Norway,Larvik,8,5,24,SW,8.1,86,29,993
2009-11-19,Norway,Larvik,9,4,22,SW,10.9,91,74,1002
2009-11-20,Norway,Larvik,11,10,37,SSW,1.5,89,79,1002
2009-11-21,Norway,Larvik,8,6,23,WSW,0.0,81,30,1013
2009-11-22,Norway,Larvik,10,6,28,S,6.7,91,75,999
2009-11-23,Norway,Larvik,8,8,33,SSW,10.0,89,96,982
2009-11-24,Norway,Larvik,7,5,22,W,0.0,79,17,989
2009-11-25,Norway,Larvik,10,6,32,SSW,5.4,88,74,988
2009-11-26,Norway,Larvik,9,7,35,SW,0.8,80,47,986
2009-11-27,Norway,Larvik,8,6,26,SW,0.5,80,54,988
2009-11-28,Norway,Larvik,6,3,10,SSW,1.6,87,49,992
2009-11-29,Norway,Larvik,3,2,13,E,3.8,88,55,997
2009-11-30,Norway,Larvik,4,1,14,WNW,5.5,89,84,994
2009-12-01,Norway,Larvik,2,0,12,WSW,0.0,64,3,1009
2009-12-02,Norway,Larvik,1,-1,10,E,0.0,68,26,1015
2009-12-03,Norway,Larvik,1,-1,22,ENE,3.1,73,53,1012
2009-12-04,Norway,Larvik,2,1,20,ENE,9.8,94,100,1013
2009-12-05,Norway,Larvik,4,3,25,E,11.6,95,100,1011
2009-12-06,Norway,Larvik,4,4,30,SE,2.7,93,100,1008
2009-12-07,Norway,Larvik,5,4,13,E,13.9,96,100,1007
2009-12-08,Norway,Larvik,5,4,15,ESE,2.1,94,100,1015
2009-12-09,Norway,Larvik,6,5,16,SSE,1.5,90,99,1022
2009-12-10,Norway,Larvik,5,3,15,ENE,3.4,93,100,1024
2009-12-11,Norway,Larvik,4,2,18,SE,0.2,87,78,1032
2009-12-12,Norway,Larvik,4,2,22,E,0.3,84,87,1035
2009-12-13,Norway,Larvik,2,1,14,SW,0.0,84,37,1029
2009-12-14,Norway,Larvik,2,1,11,SSE,1.4,89,93,1023
2009-12-15,Norway,Larvik,1,-2,19,SSW,1.6,83,39,1016
2009-12-16,Norway,Larvik,-1,-3,35,NE,1.1,82,79,1017
2009-12-17,Norway,Larvik,-4,-6,44,NE,1.6,77,93,1027
2009-12-18,Norway,Larvik,-7,-8,21,NE,0.7,87,67,1024
2009-12-19,Norway,Larvik,-1,-6,20,S,0.8,83,53,1008
2009-12-20,Norway,Larvik,-4,-5,23,ENE,1.2,86,100,1002
2009-12-21,Norway,Larvik,-7,-7,14,NE,1.1,84,93,1000
2009-12-22,Norway,Larvik,-2,-5,19,E,3.5,92,92,994
2009-12-23,Norway,Larvik,-2,-5,19,NE,3.9,94,100,992
2009-12-24,Norway,Larvik,3,1,30,SSE,12.2,93,100,998
2009-12-25,Norway,Larvik,1,0,38,NE,12.3,92,100,997
2009-12-26,Norway,Larvik,-2,-7,25,ENE,5.9,91,94,995
2009-12-27,Norway,Larvik,-1,-5,10,NE,4.1,95,93,994
2009-12-28,Norway,Larvik,-4,-5,14,NW,2.1,83,15,996
2009-12-29,Norway,Larvik,-5,-8,16,SE,0.0,86,21,1006
2009-12-30,Norway,Larvik,-9,-9,13,ESE,0.0,83,5,1010
2009-12-31,Norway,Larvik,-6,-8,13,N,0.0,86,20,1008
2010-01-01,Norway,Larvik,-7,-7,31,NNE,2.7,92,100,1009
2010-01-02,Norway,Larvik,-9,-12,28,ENE,0.4,91,55,1023
2010-01-03,Norway,Larvik,-4,-13,12,WNW,0.0,83,33,1019
2010-01-04,Norway,Larvik,-4,-7,13,WSW,0.0,82,33,1008
2010-01-05,Norway,Larvik,-11,-13,24,NE,0.0,94,38,1011
2010-01-06,Norway,Larvik,-13,-14,29,NNE,0.0,93,23,1015
2010-01-07,Norway,Larvik,-12,-14,28,NNE,0.4,97,64,1019
2010-01-08,Norway,Larvik,-12,-14,16,NE,0.3,90,27,1031
2010-01-09,Norway,Larvik,-7,-12,21,NNE,0.0,81,0,1039
2010-01-10,Norway,Larvik,-7,-7,26,NNE,0.0,80,0,1038
2010-01-11,Norway,Larvik,-2,-7,24,NNE,0.0,85,10,1033
2010-01-12,Norway,Larvik,-3,-4,16,NNE,0.0,92,19,1028
2010-01-13,Norway,Larvik,-5,-7,13,NE,0.0,92,21,1024
2010-01-14,Norway,Larvik,-5,-7,15,NE,0.1,95,66,1023
2010-01-15,Norway,Larvik,-4,-7,12,NE,0.6,94,85,1029
2010-01-16,Norway,Larvik,-1,-5,21,SE,2.3,92,96,1029
